Images,Name,Price,Sizes,URL
/lobster1718/prod_images/med/1718-lobster-web-double7-744-death-844.png,Lobster x Death Label ,CAD$460.00,,https://www.lobstersnowboards.com/shop/lobster-x-death-label--499
/lobster1718/prod_images/med/1718-lobster-web-double8-859.png,A.A. Sea Creature,€499.95,,https://www.lobstersnowboards.com/shop/a-a--sea-creature-468
/lobster1718/prod_images/med/1718-lobster-web-double9-858.png,A.A. Reaper,€459.95,154W - LAST FEW!,https://www.lobstersnowboards.com/shop/a-a--reaper-467
/lobster1718/prod_images/med/1718-lobster-web-double7-744.png,The Sender ,€499.95,"152 - LAST FEW!,157 - LAST FEW!",https://www.lobstersnowboards.com/shop/the-sender--466
/lobster1718/prod_images/med/1718-jib-board-set-top-web-748.png,Jibboard Set,€459.95,,https://www.lobstersnowboards.com/shop/jibboard-set-462
/lobster1718/prod_images/med/1718-lobster-web-double2-743.png,Floater,€479.95,"151 - LAST FEW!,154 - LAST FEW!",https://www.lobstersnowboards.com/shop/floater-465
/lobster1718/prod_images/med/1718-lobster-web-double5-737.png,Jibboard ,€379.95,"144 - LAST FEW!,148 - LAST FEW!",https://www.lobstersnowboards.com/shop/jibboard--463
/lobster1718/prod_images/med/1718-lobster-web-double4-741.png,Halldor Pro Asym,€489.99,,https://www.lobstersnowboards.com/shop/halldor-pro-asym-461
/lobster1718/prod_images/med/1718-lobster-web-double6-742.png,Parkboard ,€399.95,,https://www.lobstersnowboards.com/shop/parkboard--464
/lobster1718/prod_images/med/1718-lobster-web-double3-740-767.png,Eiki Pro Model ,€449.95,154 - LAST FEW!,https://www.lobstersnowboards.com/shop/eiki-pro-model--459
/lobster1718/prod_images/med/1718-lobster-web-double3-740.png,Halldor Pro Model ,£440.00,150 - LAST FEW!,https://www.lobstersnowboards.com/shop/halldor-pro-model--460
